Entity,Number ID,Coat color,Gender,Father,Mum,D.O.B,D.O.D,Cause of death,Censored,Lifespan (days),Code,Name Treatment,Drug Treatment,Cage,Position,,Blood,Batch,Current Age,month,Dead age or alive,month,1,1.5,2,3,4,4.5,5,6,8,10,12,14,15,17,18,Pups total,Pups euthanized,Weaning date,Weaning days,Males,Females,Dead
MOU000151,51,Black,Male,,,06/07/2021,09/01/2024,Found dead,0,917,L,Control Envigo,,11,R001B_D03,,YES,E_2021_27_CEB,945,31.0,917,30.1,,,,,,,,,,,,,,,,,,,,,,1
MOU000152,52,Black,Male,,,06/07/2021,03/05/2023,Dermatitis,0,666,L,Control Envigo,,11,R001B_D03,,YES,E_2021_27_CEB,945,31.0,666,21.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000153,53,Black,Male,,,06/07/2021,,,,945,L,Control Envigo,,11,R001B_D03,,YES,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000154,54,Black,Male,,,06/07/2021,23/10/2023,Found dead,0,839,L,Control Envigo,,11,R001B_D03,,YES,E_2021_27_CEB,945,31.0,839,27.5,,,,,,,,,,,,,,,,,,,,,,1
MOU000155,55,Black,Male,,,06/07/2021,28/12/2023,Tumor,0,905,L,Control Envigo,,11,R001B_D03,,YES,E_2021_27_CEB,945,31.0,905,29.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000156,56,Black,Male,,,06/07/2021,,,,945,C,Trametinib | 2 ppm,,12,R001A_C01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000157,57,Black,Male,,,06/07/2021,08/06/2023,Found dead,0,702,C,Trametinib | 2 ppm,,12,R001A_C01,,,E_2021_27_CEB,945,31.0,702,23.0,,,,,,,,,,,,,,,,,,,,,,1
MOU000158,58,Black,Male,,,06/07/2021,,,,945,C,Trametinib | 2 ppm,,12,R001A_C01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000159,59,Black,Male,,,06/07/2021,,,,945,C,Trametinib | 2 ppm,,12,R001A_C01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000160,60,Black,Male,,,06/07/2021,13/06/2023,Ascites,0,707,C,Trametinib | 2 ppm,,12,R001A_C01,,,E_2021_27_CEB,945,31.0,707,23.2,,,,,,,,,,,,,,,,,,,,,,1
MOU000161,61,Black,Male,,,06/07/2021,31/01/2024,Found dead,0,939,K,Low Protein | 6%,,13,R001B_C02,,,E_2021_27_CEB,945,31.0,939,30.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000162,62,Black,Male,,,06/07/2021,28/04/2023,Found dead,0,661,K,Low Protein | 6%,,13,R001B_C02,,,E_2021_27_CEB,945,31.0,661,21.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000163,63,Black,Male,,,06/07/2021,12/01/2024,Found dead,0,920,K,Low Protein | 6%,,13,R001B_C02,,,E_2021_27_CEB,945,31.0,920,30.2,,,,,,,,,,,,,,,,,,,,,,1
MOU000164,64,Black,Male,,,06/07/2021,28/04/2023,Found dead,0,661,K,Low Protein | 6%,,13,R001B_C02,,,E_2021_27_CEB,945,31.0,661,21.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000165,65,Black,Male,,,06/07/2021,22/11/2023,Found dead,0,869,K,Low Protein | 6%,,13,R001B_C02,,,E_2021_27_CEB,945,31.0,869,28.5,,,,,,,,,,,,,,,,,,,,,,1
MOU000166,66,Black,Male,,,06/07/2021,,,,945,A,Eudragit | 404 ppm,,14,R001A_A03,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000167,67,Black,Male,,,06/07/2021,18/12/2023,Found dead,0,895,A,Eudragit | 404 ppm,,14,R001A_A03,,,E_2021_27_CEB,945,31.0,895,29.3,,,,,,,,,,,,,,,,,,,,,,1
MOU000168,68,Black,Male,,,06/07/2021,31/07/2023,Found dead,0,755,A,Eudragit | 404 ppm,,14,R001A_A03,,,E_2021_27_CEB,945,31.0,755,24.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000169,69,Black,Male,,,06/07/2021,,,,945,A,Eudragit | 404 ppm,,14,R001A_A03,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000170,70,Black,Male,,,06/07/2021,22/09/2023,Found dead,0,808,A,Eudragit | 404 ppm,,14,R001A_A03,,,E_2021_27_CEB,945,31.0,808,26.5,,,,,,,,,,,,,,,,,,,,,,1
MOU000171,71,Black,Male,,,06/07/2021,,,,945,I,Acarbose | 1000 ppm,,15,R001B_A01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000172,72,Black,Male,,,06/07/2021,,,,945,I,Acarbose | 1000 ppm,,15,R001B_A01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000173,73,Black,Male,,,06/07/2021,30/11/2022,Found dead,1,512,I,Acarbose | 1000 ppm,,15,R001B_A01,,,E_2021_27_CEB,945,31.0,512,16.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000174,74,Black,Male,,,06/07/2021,30/01/2024,Found dead,0,938,I,Acarbose | 1000 ppm,,15,R001B_A01,,,E_2021_27_CEB,945,31.0,938,30.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000175,75,Black,Male,,,06/07/2021,,,,945,I,Acarbose | 1000 ppm,,15,R001B_A01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000176,76,Black,Male,,,06/07/2021,03/11/2023,Found dead,0,850,H,17-Estradiol & Rapamycin | 14 ppm & 42 ppm,,16,R001A_H01,,,E_2021_27_CEB,945,31.0,850,27.9,,,,,,,,,,,,,,,,,,,,,,1
MOU000177,77,Black,Male,,,06/07/2021,,,,945,H,17-Estradiol & Rapamycin | 14 ppm & 42 ppm,,16,R001A_H01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000178,78,Black,Male,,,06/07/2021,24/11/2023,Found dead,0,871,H,17-Estradiol & Rapamycin | 14 ppm & 42 ppm,,16,R001A_H01,,,E_2021_27_CEB,945,31.0,871,28.6,,,,,,,,,,,,,,,,,,,,,,1
MOU000179,79,Black,Male,,,06/07/2021,30/11/2022,Fighting,1,512,H,17-Estradiol & Rapamycin | 14 ppm & 42 ppm,,16,R001A_H01,,,E_2021_27_CEB,945,31.0,512,16.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000180,80,Black,Male,,,06/07/2021,,,,945,H,17-Estradiol & Rapamycin | 14 ppm & 42 ppm,,16,R001A_H01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000181,81,Black,Male,,,06/07/2021,,,,945,F,Rapamycin | 42 ppm,,17,R001A_F01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000182,82,Black,Male,,,06/07/2021,27/01/2024,Found dead,1,935,F,Rapamycin | 42 ppm,,17,R001A_F01,,,E_2021_27_CEB,945,31.0,935,30.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000183,83,Black,Male,,,06/07/2021,31/10/2022,Found dead,1,482,F,Rapamycin | 42 ppm,,17,R001A_F01,,,E_2021_27_CEB,945,31.0,482,15.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000184,84,Black,Male,,,06/07/2021,07/01/2024,Found dead,0,915,F,Rapamycin | 42 ppm,,17,R001A_F01,,,E_2021_27_CEB,945,31.0,915,30.0,,,,,,,,,,,,,,,,,,,,,,1
MOU000185,85,Black,Male,,,06/07/2021,,,,945,F,Rapamycin | 42 ppm,,17,R001A_F01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000186,86,Black,Male,,,06/07/2021,28/11/2023,Found dead,0,875,B,Selegiline | 42 ppm,,18,R001A_B02,,,E_2021_27_CEB,945,31.0,875,28.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000187,87,Black,Male,,,06/07/2021,17/08/2023,Found dead,0,772,B,Selegiline | 42 ppm,,18,R001A_B02,,,E_2021_27_CEB,945,31.0,772,25.3,,,,,,,,,,,,,,,,,,,,,,1
MOU000188,88,Black,Male,,,06/07/2021,19/12/2023,Found dead,0,896,B,Selegiline | 42 ppm,,18,R001A_B02,,,E_2021_27_CEB,945,31.0,896,29.4,,,,,,,,,,,,,,,,,,,,,,1
MOU000189,89,Black,Male,,,06/07/2021,,,,945,B,Selegiline | 42 ppm,,18,R001A_B02,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000190,90,Black,Male,,,06/07/2021,20/11/2023,Found dead,0,867,B,Selegiline | 42 ppm,,18,R001A_B02,,,E_2021_27_CEB,945,31.0,867,28.4,,,,,,,,,,,,,,,,,,,,,,1
MOU000191,91,Black,Male,,,06/07/2021,04/01/2024,Scoresheet,0,912,J,Ketogenic,,19,R001B_B03,,YES,E_2021_27_CEB,945,31.0,912,29.9,,,,,,,,,,,,,,,,,,,,,,1
MOU000192,92,Black,Male,,,06/07/2021,18/12/2023,Found dead,0,895,J,Ketogenic,,19,R001B_B03,,YES,E_2021_27_CEB,945,31.0,895,29.3,,,,,,,,,,,,,,,,,,,,,,1
MOU000193,93,Black,Male,,,06/07/2021,08/11/2023,Found dead,0,855,J,Ketogenic,,19,R001B_B03,,YES,E_2021_27_CEB,945,31.0,855,28.0,,,,,,,,,,,,,,,,,,,,,,1
MOU000194,94,Black,Male,,,06/07/2021,17/10/2023,Scoresheet,0,833,J,Ketogenic,,19,R001B_B03,,YES,E_2021_27_CEB,945,31.0,833,27.3,,,,,,,,,,,,,,,,,,,,,,1
MOU000195,95,Black,Male,,,06/07/2021,30/01/2023,Found dead,1,573,J,Ketogenic,,19,R001B_B03,,YES,E_2021_27_CEB,945,31.0,573,18.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000196,96,Black,Male,,,06/07/2021,02/08/2023,Found dead,0,757,F,Rapamycin | 42 ppm,,20,R001A_F02,,,E_2021_27_CEB,945,31.0,757,24.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000197,97,Black,Male,,,06/07/2021,10/07/2023,Found dead,0,734,F,Rapamycin | 42 ppm,,20,R001A_F02,,,E_2021_27_CEB,945,31.0,734,24.1,,,,,,,,,,,,,,,,,,,,,,1
MOU000198,98,Black,Male,,,06/07/2021,19/12/2023,Found dead,0,896,F,Rapamycin | 42 ppm,,20,R001A_F02,,,E_2021_27_CEB,945,31.0,896,29.4,,,,,,,,,,,,,,,,,,,,,,1
MOU000199,99,Black,Male,,,06/07/2021,22/01/2024,Found dead,0,930,F,Rapamycin | 42 ppm,,20,R001A_F02,,,E_2021_27_CEB,945,31.0,930,30.5,,,,,,,,,,,,,,,,,,,,,,1
MOU000200,100,Black,Male,,,06/07/2021,,,,945,F,Rapamycin | 42 ppm,,20,R001A_F02,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000201,101,Black,Male,,,06/07/2021,13/12/2023,Found dead,0,890,E,Control Ssniff,,21,R001A_E02,,,E_2021_27_CEB,945,31.0,890,29.2,,,,,,,,,,,,,,,,,,,,,,1
MOU000202,102,Black,Male,,,06/07/2021,20/11/2023,Found dead,0,867,E,Control Ssniff,,21,R001A_E02,,,E_2021_27_CEB,945,31.0,867,28.4,,,,,,,,,,,,,,,,,,,,,,1
MOU000203,103,Black,Male,,,06/07/2021,30/12/2023,Found dead,0,907,E,Control Ssniff,,21,R001A_E02,,,E_2021_27_CEB,945,31.0,907,29.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000204,104,Black,Male,,,06/07/2021,28/12/2023,Tumor,0,905,E,Control Ssniff,,21,R001A_E02,,,E_2021_27_CEB,945,31.0,905,29.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000205,105,Black,Male,,,06/07/2021,23/10/2023,Found dead,0,839,E,Control Ssniff,,21,R001A_E02,,,E_2021_27_CEB,945,31.0,839,27.5,,,,,,,,,,,,,,,,,,,,,,1
MOU000206,106,Black,Male,,,06/07/2021,21/03/2023,Scoresheet,0,623,J,Ketogenic,,22,R001B_B04,,,E_2021_27_CEB,945,31.0,623,20.4,,,,,,,,,,,,,,,,,,,,,,1
MOU000207,107,Black,Male,,,06/07/2021,31/10/2023,Found dead,0,847,J,Ketogenic,,22,R001B_B04,,,E_2021_27_CEB,945,31.0,847,27.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000208,108,Black,Male,,,06/07/2021,,,,945,J,Ketogenic,,22,R001B_B04,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000209,109,Black,Male,,,06/07/2021,01/06/2023,Found dead,0,695,J,Ketogenic,,22,R001B_B04,,,E_2021_27_CEB,945,31.0,695,22.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000210,110,Black,Male,,,06/07/2021,09/12/2023,Found dead,0,886,J,Ketogenic,,22,R001B_B04,,,E_2021_27_CEB,945,31.0,886,29.0,,,,,,,,,,,,,,,,,,,,,,1
MOU000211,111,Black,Male,,,06/07/2021,17/01/2024,Found dead,0,925,E,Control Ssniff,,23,R001A_E03,,,E_2021_27_CEB,945,31.0,925,30.3,,,,,,,,,,,,,,,,,,,,,,1
MOU000212,112,Black,Male,,,06/07/2021,,,,945,E,Control Ssniff,,23,R001A_E03,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000213,113,Black,Male,,,06/07/2021,13/01/2024,Found dead,0,921,E,Control Ssniff,,23,R001A_E03,,,E_2021_27_CEB,945,31.0,921,30.2,,,,,,,,,,,,,,,,,,,,,,1
MOU000214,114,Black,Male,,,06/07/2021,,,,945,E,Control Ssniff,,23,R001A_E03,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000215,115,Black,Male,,,06/07/2021,,,,945,E,Control Ssniff,,23,R001A_E03,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000216,116,Black,Male,,,06/07/2021,,,,945,L,Control Envigo,,24,R001B_D04,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000217,117,Black,Male,,,06/07/2021,25/11/2022,Scoresheet,1,507,L,Control Envigo,,24,R001B_D04,,,E_2021_27_CEB,945,31.0,507,16.6,,,,,,,,,,,,,,,,,,,,,,1
MOU000218,118,Black,Male,,,06/07/2021,11/09/2023,Found dead,0,797,L,Control Envigo,,24,R001B_D04,,,E_2021_27_CEB,945,31.0,797,26.1,,,,,,,,,,,,,,,,,,,,,,1
MOU000219,119,Black,Male,,,06/07/2021,,,,945,L,Control Envigo,,24,R001B_D04,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000220,120,Black,Male,,,06/07/2021,,,,945,L,Control Envigo,,24,R001B_D04,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000221,121,Black,Male,,,06/07/2021,25/09/2023,Scoresheet,0,811,J,Ketogenic,,25,R001B_B05,,,E_2021_27_CEB,945,31.0,811,26.6,,,,,,,,,,,,,,,,,,,,,,1
MOU000222,122,Black,Male,,,06/07/2021,18/09/2023,Found dead,0,804,J,Ketogenic,,25,R001B_B05,,,E_2021_27_CEB,945,31.0,804,26.4,,,,,,,,,,,,,,,,,,,,,,1
MOU000223,123,Black,Male,,,06/07/2021,10/10/2023,Found dead,0,826,J,Ketogenic,,25,R001B_B05,,,E_2021_27_CEB,945,31.0,826,27.1,,,,,,,,,,,,,,,,,,,,,,1
MOU000224,124,Black,Male,,,06/07/2021,05/10/2023,Found dead,0,821,J,Ketogenic,,25,R001B_B05,,,E_2021_27_CEB,945,31.0,821,26.9,,,,,,,,,,,,,,,,,,,,,,1
MOU000225,125,Black,Male,,,06/07/2021,18/09/2023,Found dead,0,804,J,Ketogenic,,25,R001B_B05,,,E_2021_27_CEB,945,31.0,804,26.4,,,,,,,,,,,,,,,,,,,,,,1
MOU000226,126,Black,Male,,,06/07/2021,,,,945,K,Low Protein | 6%,,26,R001B_C03,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000227,127,Black,Male,,,06/07/2021,05/10/2023,Found dead,0,821,K,Low Protein | 6%,,26,R001B_C03,,,E_2021_27_CEB,945,31.0,821,26.9,,,,,,,,,,,,,,,,,,,,,,1
